,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Migration Route,UNSD Geographical Grouping,Source Quality,Latitude,Longitude
1432,44642,Central America,23-Feb-18,2018,Feb,1.0,,1,3.0,,1.0,,Shot,"Carretera La Palma, near Éjido Las Pozas San Isidro, Tenosique, Tabasco, Mexico","El Heraldo de Tabasco, Diario de Tabasco, Tabasco Hoy",Central America to US,Central America,3,17.458664608521, -91.444448735596
1433,50916,North Africa,23-Feb-18,2018,Feb,2.0,,2,,,2.0,1.0,"Sickness and lack of access to medicines, Starvation, Dehydration","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,21.856401000000, 23.853251000000
1434,50917,Sub-Saharan Africa,23-Feb-18,2018,Feb,1.0,,1,,,1.0,,Suffocation,"Near Arusha, Tanzania",Mixed Migration Monitoring Mechanism Initiative (4mi),,Eastern Africa,2,-3.445196000000, 36.633972000000
1435,50914,Sub-Saharan Africa,22-Feb-18,2018,Feb,1.0,,1,,,1.0,,Sickness and lack of access to medicines,"Near Dhobley, Somalia",Mixed Migration Monitoring Mechanism Initiative (4mi),,Eastern Africa,2,2.500000000000, 42.329444000000
1436,50915,Sub-Saharan Africa,22-Feb-18,2018,Feb,2.0,,2,,,1.0,,Vehicle Accident,"Ouahigouya, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),,Western Africa,2,13.574530000000, -2.413660000000
1437,44601,Central America,21-Feb-18,2018,Feb,3.0,,3,2.0,1.0,2.0,,Vehicle Accident,"Carretera federal Transístimica, near El Llano ranch, San Blas Atempa, Oaxaca, Mexico","NSS Oaxaca, ADN Sureste",Central America to US,Central America,3,16.337863554658, -95.228298143408
1438,44602,Horn of Africa,21-Feb-18,2018,Feb,1.0,,1,288.0,,1.0,,Drowning,"Off the coast of Brom Mayfa, Yemen ",IOM Yemen,,Western Asia,4,12.583447082290, 44.170363431250
1439,44622,Mediterranean,21-Feb-18,2018,Feb,2.0,,2,,1.0,1.0,,Presumed drowning,"25 nautical miles north of Béni-Saf, Ain Témouchent, Algeria","Le Soir d'Algerie, Algérie 360, Réflexion",Western Mediterranean,Uncategorized,3,35.406879065613, -1.395759438281
1440,50909,North Africa,21-Feb-18,2018,Feb,1.0,,1,,,1.0,,Sickness and lack of access to medicines,Egyptian Libyan border ,Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,26.268788000000, 24.688648000000
1441,50910,North Africa,21-Feb-18,2018,Feb,1.0,,1,,1.0,,,"Sickness and lack of access to medicines, Sexual abuse","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,26.936150000000, 14.347580000000
1442,50911,North Africa,21-Feb-18,2018,Feb,1.0,,1,,1.0,,,Sickness and lack of access to medicines,"Near Gedaref, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,13.966799000000, 35.440559000000
1443,50912,North Africa,21-Feb-18,2018,Feb,3.0,,3,,,,,Unknown,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,19.635357000000, 27.103538000000
1444,50913,Sub-Saharan Africa,21-Feb-18,2018,Feb,1.0,,1,,1.0,,,Sickness and lack of access to medicines,"Tillaberi, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),,Western Africa,2,14.207840000000, 1.452750000000
1445,44637,US-Mexico Border,20-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,Central America to US,Northern America,5,31.890421800000, -110.581743500000
1446,50907,North Africa,20-Feb-18,2018,Feb,2.0,,2,,,2.0,,Vehicle Accident,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,19.635357000000, 27.103538000000
1447,50908,Sub-Saharan Africa,20-Feb-18,2018,Feb,2.0,,2,,,2.0,1.0,Unknown,"Kantchari, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4mi),,Western Africa,2,12.486464000000, 1.513367000000
1448,44600,Mediterranean,19-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown,"Awlad Sukr area, 12km east of Al Khums, Libya",IOM Libya,Central Mediterranean,Uncategorized,4,32.719144626209, 14.171768528906
1449,44641,Central America,19-Feb-18,2018,Feb,1.0,,1,,,1.0,,Hit by train,"Train tracks in Escobedo, near Monterrey, Nuevo León, México",Multimedios,Central America to US,Central America,1,25.797866394117, -100.329760675790
1450,50905,North Africa,19-Feb-18,2018,Feb,3.0,,3,,2.0,,1.0,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,23.679744000000, 12.696986000000
1451,50906,North Africa,19-Feb-18,2018,Feb,2.0,,2,,1.0,1.0,1.0,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse","Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,19.635357000000, 27.103537000000
1452,44416,US-Mexico Border,18-Feb-18,2018,Feb,1.0,,1,,,1.0,,Drowning,"Río Bravo, island near Guerrero, Coahuila, Mexico","Zócalo, La Rancherita, La Voz",Central America to US,Central America,3,28.333771526160, -100.305938239650
1453,44417,Central America,18-Feb-18,2018,Feb,1.0,,1,,,1.0,,Hit by train,"Train tracks between Tlamaco and Bojay, Atitalaquia, Hidalgo, Mexico",Vía Libre,Central America to US,Central America,1,20.043568653938, -99.239109589286
1454,44599,Mediterranean,18-Feb-18,2018,Feb,2.0,,2,,,,,Presumed drowning,"8 nautical miles north of Plage Bouzedjar, Ain Témouchent, Algeria","IOM Algeria, Réflexion",Western Mediterranean,Uncategorized,3,35.595813364862, -1.186008961035
1455,49261,US-Mexico Border,18-Feb-18,2018,Feb,3.0,,3,,1.0,2.0,,Unknown (skeletal remains),"Private ranch, 10 to 12 miles SW of Fort Davis, Jeff Davis County, Texas, USA",Jeff Davis County Sheriff's Office,,Northern America,5,30.562809092881, -103.972216242380
1456,50904,North Africa,18-Feb-18,2018,Feb,1.0,,1,,1.0,,,Starvation,"Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,24.921313000000, 14.145715000000
1457,44423,Mediterranean,17-Feb-18,2018,Feb,1.0,,1,,,,,Presumed drowning,"Body found 10 km off the coast of Chlef province, between Mostaganem and Benabdelmalek Ramadan, Algeria","IOM Algeria, Huffington Post",Western Mediterranean,Uncategorized,3,36.654403900040, 0.924694723437
1458,44635,US-Mexico Border,17-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.081657400000, -112.751625500000
1459,44636,US-Mexico Border,17-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,Central America to US,Northern America,5,32.059862000000, -111.396443400000
1460,50903,North Africa,17-Feb-18,2018,Feb,1.0,,1,,,1.0,,Shot or stabbed,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,25.477992000000, 13.882974000000
1461,44422,Mediterranean,16-Feb-18,2018,Feb,1.0,,1,,,,,Presumed drowning,"Plage de Madagh, Aïn El Kerma, west of Oran, Algeria","El Watan, Réflexion",Western Mediterranean,Uncategorized,3,35.646074121757, -1.075810897416
1462,44618,US-Mexico Border,16-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Ranch near Sarita, Kenedy County, Texas, USA",US Border Patrol via Breitbart,Central America to US,Northern America,1,27.223760838525, -97.804497931860
1463,44654,Mediterranean,16-Feb-18,2018,Feb,1.0,,1,,,,,Presumed drowning,"Body retrieved in AzZawiyah, Libya",IOM Libya,Central Mediterranean,Uncategorized,4,32.796511748693, 12.733749617969
1464,44655,Mediterranean,16-Feb-18,2018,Feb,1.0,,1,,,,,Presumed drowning,"Body retrieved in Tripoli, Libya",IOM Libya,Central Mediterranean,Uncategorized,4,32.906811782506, 13.184471844922
1465,50902,Sub-Saharan Africa,16-Feb-18,2018,Feb,1.0,,1,,,1.0,,Vehicle Accident,"San, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),,Western Africa,2,13.306580000000, -4.892490000000
1466,44415,US-Mexico Border,15-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Cage Ranch, Brooks County, Texas, USA","South Texas Human Rights Center, KIII News",Central America to US,Northern America,4,26.923896600000, -98.019201800000
1467,44420,Mediterranean,15-Feb-18,2018,Feb,1.0,,1,,,1.0,,Presumed drowning,"Plage Bouzedjar, Ain Témouchent, Algeria","Algérie Presse Service, Le Quotidien d'Oran, Réflexion",Western Mediterranean,Uncategorized,3,35.579829252717, -1.163521320654
1468,44421,Mediterranean,15-Feb-18,2018,Feb,2.0,,2,,,2.0,,Presumed drowning,"Plage des Andalouses, Bousfer, west of Oran, Algeria","El Watan, Réflexion",Western Mediterranean,Uncategorized,3,35.717462497699, -0.893899331738
1469,44617,US-Mexico Border,15-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"King Ranch in Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US,Northern America,4,27.126637600000, -98.186111100000
1470,44653,Mediterranean,15-Feb-18,2018,Feb,11.0,,11,,,,,Presumed drowning,"Bodies retrieved in Zuwara, Libya",IOM Libya,Central Mediterranean,Uncategorized,4,32.940748164060, 12.081660973047
1471,50901,North Africa,15-Feb-18,2018,Feb,2.0,,2,,,2.0,,"Harsh weather/lack of adequate shelter, Suffocation, Excessive Physical Abuse","Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,19.635357000000, 27.103536000000
1472,44413,North Africa,14-Feb-18,2018,Feb,19.0,,19,159.0,1.0,14.0,4.0,Vehicle Accident,"Road between As Saddadah (60 km south-east of Bani Waleed) and Tarhuna, Libya","IOM Libya, DTM Libya",,Northern Africa,4,31.614154277024, 14.674403539062
1473,44414,US-Mexico Border,14-Feb-18,2018,Feb,1.0,,1,,,1.0,,Fall into a canyon,"Pump Canyon, ranch west of Langtry, Val Verde County, Texas, USA",Muere migrante al caer de un barranco en Del Río,Central America to US,Northern America,3,29.802600059813, -101.576332853560
1474,44419,Mediterranean,14-Feb-18,2018,Feb,2.0,,2,,,2.0,,Presumed drowning,"Plage de Sassel (Ouled Boudjemaa) and Sbiat (Messaid), Ain Témouchent, Algeria","Radio Algérienne, Le Quotidien d'Oran, Réflexion",Western Mediterranean,Uncategorized,3,35.494728544351, -1.244925426954
1475,44616,US-Mexico Border,14-Feb-18,2018,Feb,1.0,,1,,,,,Unknown (skeletal remains),"Mariposa Ranch in Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US,Northern America,4,27.073084200000, -97.976084400000
